,FINAL,PRE-CLEARIN,G PRICES AS,OF 02/18,/16 06:00,PM (CST),,,,,
1810,----,----,----,----,106.8,-6.1,,112.9,,,
1815,----,----,----,----,101.7,-6.2,,107.9,,,1
1820,----,----,----,----,96.7,-6.2,,102.9,,,10
1825,----,----,----,----,91.8,-6.2,,98,,,80
1830,----,----,----,----,86.8,-6.2,,93,,,1
1835,----,----,----,----,81.8,-6.3,,88.1,,,
1840,----,----,----,----,76.9,-6.2,,83.1,,,17
1845,----,----,----,----,72,-6.2,,78.2,,,
1850,----,----,----,----,67,-6.3,,73.3,,,381
1855,----,----,----,----,62.1,-6.3,,68.4,,,1
1860,----,----,----,----,57.2,-6.3,2,63.5,,,348
1865,----,----,----,----,52.3,-6.3,,58.6,,,1
1870,----,----,----,----,47.5,-6.3,,53.8,,,371
1875,----,----,----,----,42.7,-6.3,2,49,,,696
1880,----,----,----,----,37.9,-6.4,10,44.3,21,,592
1885,----,----,----,----,33.2,-6.5,,39.7,,,77
1890,----,----,----,----,28.6,-6.7,12,35.3,,,174
1895,----,----,----,----,24.2,-6.7,,30.9,,,
1900,23,23,19,19,20,-6.8,375,26.8,48,,1648
1905,----,----,----,----,16.1,-6.7,4,22.8,,,15
1910,10.3,10.3,10.3,10.3,12.5,-6.6,83,19.1,387,,638
1915,----,----,----,----,9.4,-6.3,7,15.7,24,,17
1920,----,----,----,----,6.7,-5.9,84,12.6,1444,,606
1925,4.2,4.2,4.2,4.2,4.6,-5.2,360,9.8,393,,935
1930,5.3,5.3,3.30A,3.30A,3,-4.4,192,7.4,1156,,542
1935,4,4,2.50A,2.7,1.9,-3.6,62,5.5,194,,319
1940,2.5,2.5,1.85,2,1.15,-2.75,599,3.9,1287,,1228
1945,----,----,----,----,0.7,-2.05,3,2.75,5,,35
1950,----,----,----,----,0.45,-1.4,179,1.85,216,,754
1955,----,----,----,----,0.3,-1,24,1.3,111,,368
1960,----,----,----,----,0.2,-0.65,73,0.85,25,,847
1965,----,----,----,----,0.15,-0.45,,0.6,,,1073
1970,0.1,0.1,0.1,0.1,0.15,-0.3,1,0.45,50,,2416
1975,----,----,----,----,0.1,-0.2,,0.3,20,,1511
1980,0.2,0.2,0.2,0.2,0.1,-0.15,1,0.25,111,,2670
1985,----,----,----,----,0.05,-0.15,,0.2,575,,1379
1990,----,----,----,----,0.05,-0.1,,0.15,2218,,1966
1995,----,----,----,----,0.05,-0.1,,0.15,,,902
2000,0.1,0.1,CABA,CABA,0.05,-0.1,1,0.15,1748,,2546
2005,----,----,----,----,0.05,-0.05,,0.1,,,371
2010,CAB,CAB,CAB,CAB,0.05,-0.05,1,0.1,236,,1954
2015,----,----,----,----,0.05,-0.05,,0.1,,,275
2020,----,----,----,----,0.05,-0.05,,0.1,,,1234
2025,----,----,----,----,0.05,-0.05,,0.1,,,600
2030,----,----,----,----,0.05,-0.05,6,0.1,100,,2430
2035,CAB,CAB,CAB,CAB,CAB,-0.05,1,0.05,,,1109
2040,----,----,----,----,CAB,-0.05,,0.05,,,5550
2045,----,----,----,----,CAB,-0.05,,0.05,,,
2050,----,----,----,----,CAB,-0.05,,0.05,,1,272
2055,----,----,----,----,CAB,-0.05,,0.05,,,377
2060,----,----,----,----,CAB,-0.05,,0.05,,,1317
2065,----,----,----,----,CAB,-0.05,,0.05,,,277
2070,----,----,----,----,CAB,-0.05,,0.05,,,2360
2075,----,----,----,----,CAB,-0.05,,0.05,,,1037
2080,----,----,----,----,CAB,-0.05,,0.05,,1,4968
2085,----,----,----,----,CAB,-0.05,,0.05,,,476
2090,CAB,CAB,CAB,CAB,CAB,-0.05,1,0.05,,,2825
2095,----,----,----,----,CAB,-0.05,,0.05,,,
2100,----,----,----,----,CAB,UNCH,,CAB,,,3856
2105,----,----,----,----,CAB,UNCH,,CAB,,,322
2110,----,----,----,----,CAB,UNCH,,CAB,,,3265
2115,----,----,----,----,CAB,UNCH,,CAB,,,325
2120,----,----,----,----,CAB,UNCH,,CAB,,,476
2125,----,----,----,----,CAB,UNCH,,CAB,,,1047
2130,----,----,----,----,CAB,UNCH,,CAB,,,1382
2135,----,----,----,----,CAB,UNCH,,CAB,,,634
2140,----,----,----,----,CAB,UNCH,,CAB,,,1390
2145,----,----,----,----,CAB,UNCH,,CAB,,,2
2150,----,----,----,----,CAB,UNCH,,CAB,,,2978
2155,----,----,----,----,CAB,UNCH,,CAB,,,2785
2160,----,----,----,----,CAB,UNCH,,CAB,,,4136
2165,----,----,----,----,CAB,UNCH,,CAB,,,2013
2170,----,----,----,----,CAB,UNCH,,CAB,,,2443
2175,----,----,----,----,CAB,UNCH,,CAB,,,1005
2180,----,----,----,----,CAB,UNCH,,CAB,,,2347
2185,----,----,----,----,CAB,UNCH,,CAB,,,707
2190,----,----,----,----,CAB,UNCH,,CAB,,,1769
2195,----,----,----,----,CAB,UNCH,,CAB,,,159
2200,----,----,----,----,CAB,UNCH,,CAB,,1,850
2205,----,----,----,----,CAB,UNCH,,CAB,,,126
2210,----,----,----,----,CAB,UNCH,,CAB,,,1032
2215,----,----,----,----,CAB,UNCH,,CAB,,,20
2220,----,----,----,----,CAB,UNCH,,CAB,,,284
2225,----,----,----,----,CAB,UNCH,,CAB,,,3364
2230,----,----,----,----,CAB,UNCH,,CAB,,,734
2235,----,----,----,----,CAB,UNCH,,CAB,,,20
2240,----,----,----,----,CAB,UNCH,,CAB,,,551
2245,----,----,----,----,CAB,UNCH,,CAB,,,134
2250,----,----,----,----,CAB,UNCH,,CAB,,,90
2255,----,----,----,----,CAB,UNCH,,CAB,,,
2260,----,----,----,----,CAB,UNCH,,CAB,,,268
2265,----,----,----,----,CAB,UNCH,,CAB,,,7
2270,----,----,----,----,CAB,UNCH,,CAB,,,
2275,----,----,----,----,CAB,UNCH,,CAB,,,
2280,----,----,----,----,CAB,UNCH,,CAB,,,
2285,----,----,----,----,CAB,UNCH,,CAB,,,
2290,----,----,----,----,CAB,UNCH,,CAB,,,
2300,----,----,----,----,CAB,UNCH,,CAB,,,
2310,----,----,----,----,CAB,UNCH,,CAB,,,5
2320,----,----,----,----,CAB,UNCH,,CAB,,,
2325,----,----,----,----,CAB,UNCH,,CAB,,,
2330,----,----,----,----,CAB,UNCH,,CAB,,,
2340,----,----,----,----,CAB,UNCH,,CAB,,,
2350,----,----,----,----,CAB,UNCH,,CAB,,,
2360,----,----,----,----,CAB,UNCH,,CAB,,,
2370,----,----,----,----,CAB,UNCH,,CAB,,,
2375,----,----,----,----,CAB,UNCH,,CAB,,,
2380,----,----,----,----,CAB,UNCH,,CAB,,,
2390,----,----,----,----,CAB,UNCH,,CAB,,,
2400,----,----,----,----,CAB,UNCH,,CAB,,,
2410,----,----,----,----,CAB,UNCH,,CAB,,,
2420,----,----,----,----,CAB,UNCH,,CAB,,,
2425,----,----,----,----,CAB,UNCH,,CAB,,,
2430,----,----,----,----,CAB,UNCH,,CAB,,,
2440,----,----,----,----,CAB,UNCH,,CAB,,,
2450,----,----,----,----,CAB,UNCH,,CAB,,,
2460,----,----,----,----,CAB,UNCH,,CAB,,,
2470,----,----,----,----,CAB,UNCH,,CAB,,,
2475,----,----,----,----,CAB,UNCH,,CAB,,,
2480,----,----,----,----,CAB,UNCH,,CAB,,,
2490,----,----,----,----,CAB,UNCH,,CAB,,,
2500,----,----,----,----,CAB,UNCH,,CAB,,,
2510,----,----,----,----,CAB,UNCH,,CAB,,,
2520,----,----,----,----,CAB,UNCH,,CAB,,,
2525,----,----,----,----,CAB,UNCH,,CAB,,,
2530,----,----,----,----,CAB,UNCH,,CAB,,,
2550,----,----,----,----,CAB,UNCH,,CAB,,,
2575,----,----,----,----,CAB,UNCH,,CAB,,,
2600,----,----,----,----,CAB,UNCH,,CAB,,,
2625,----,----,----,----,CAB,UNCH,,CAB,,,
2650,----,----,----,----,CAB,UNCH,,CAB,,,
2675,----,----,----,----,CAB,UNCH,,CAB,,,
2700,----,----,----,----,CAB,UNCH,,CAB,,,
2725,----,----,----,----,CAB,UNCH,,CAB,,,
2750,----,----,----,----,CAB,UNCH,,CAB,,,
2775,----,----,----,----,CAB,UNCH,,CAB,,,
2800,----,----,----,----,CAB,UNCH,,CAB,,,
2825,----,----,----,----,CAB,UNCH,,CAB,,,
2850,----,----,----,----,CAB,UNCH,,CAB,,,
2875,----,----,----,----,CAB,UNCH,,CAB,,,
2900,----,----,----,----,CAB,UNCH,,CAB,,,
2925,----,----,----,----,CAB,UNCH,,CAB,,,
2950,----,----,----,----,CAB,UNCH,,CAB,,,
2975,----,----,----,----,CAB,UNCH,,CAB,,,
3000,----,----,----,----,CAB,UNCH,,CAB,,,
3025,----,----,----,----,CAB,UNCH,,CAB,,,
3050,----,----,----,----,CAB,UNCH,,CAB,,,
3075,----,----,----,----,CAB,UNCH,,CAB,,,
3100,----,----,----,----,CAB,UNCH,,CAB,,,
3125,----,----,----,----,CAB,UNCH,,CAB,,,
3150,----,----,----,----,CAB,UNCH,,CAB,,,
OS MAR1,6 CME S&,P 500 OPTIO,NS CALL,,,,,,,,
500,----,----,----,----,1416.6,-6.1,,1422.7,,,
750,----,----,----,----,1166.6,-6.1,,1172.7,,,
800,----,----,----,----,1116.6,-6.1,,1122.7,,,
825,----,----,----,----,1091.6,-6.1,,1097.7,,,
850,----,----,----,----,1066.6,-6.1,,1072.7,,,
875,----,----,----,----,1041.6,-6.1,,1047.7,,,
900,----,----,----,----,1016.6,-6.1,,1022.7,,,
925,----,----,----,----,991.6,-6.1,,997.7,,,
950,----,----,----,----,966.6,-6.1,,972.7,,,
975,----,----,----,----,941.6,-6.1,,947.7,,,
1000,----,----,----,----,916.6,-6.1,,922.7,,,
1025,----,----,----,----,891.6,-6.1,,897.7,,,
1050,----,----,----,----,866.6,-6.1,,872.7,,,
1075,----,----,----,----,841.6,-6.1,,847.7,,,
1100,----,----,----,----,816.6,-6.1,,822.7,,,145
1125,----,----,----,----,791.6,-6.1,,797.7,,,
1150,----,----,----,----,766.6,-6.1,,772.7,,,
1175,----,----,----,----,741.6,-6.2,,747.8,,,
1200,----,----,----,----,716.6,-6.2,,722.8,,,
1225,----,----,----,----,691.7,-6.1,,697.8,,,
1250,----,----,----,----,666.7,-6.1,,672.8,,,
1275,----,----,----,----,641.7,-6.1,,647.8,,,
1300,----,----,----,----,616.7,-6.1,,622.8,,,
1325,----,----,----,----,591.8,-6.1,,597.9,,,
1340,----,----,----,----,576.8,-6.1,,582.9,,,
1350,----,----,----,----,566.8,-6.1,,572.9,,,
1360,----,----,----,----,556.8,-6.1,,562.9,,,
1375,----,----,----,----,541.9,-6.1,,548,,,
1380,----,----,----,----,536.9,-6.1,,543,,,
1390,----,----,----,----,526.9,-6.1,,533,,,
1400,----,----,----,----,516.9,-6.2,,523.1,,,
1410,----,----,----,----,506.9,-6.2,,513.1,,,
1420,----,----,----,----,497,-6.1,,503.1,,,
1425,----,----,----,----,492,-6.2,,498.2,,,
1430,----,----,----,----,487,-6.2,,493.2,,,
1440,----,----,----,----,477,-6.2,,483.2,,,
1450,----,----,----,----,467,-6.2,,473.2,,,
1460,----,----,----,----,457,-6.3,,463.3,,,
1470,----,----,----,----,447.1,-6.2,,453.3,,,
1475,----,----,----,----,442.1,-6.2,,448.3,,,
1480,----,----,----,----,437.1,-6.3,,443.4,,,
1490,----,----,----,----,427.1,-6.4,,433.5,,,
1500,----,----,----,----,417.2,-6.3,,423.5,,,
1510,----,----,----,----,407.2,-6.4,,413.6,,,
1520,----,----,----,----,397.3,-6.4,,403.7,,,
1525,----,----,----,----,392.3,-6.4,,398.7,,,
1530,----,----,----,----,387.4,-6.3,,393.7,,,
1540,----,----,----,----,377.5,-6.3,,383.8,,,
1550,----,----,----,----,367.6,-6.3,,373.9,,,
1555,----,----,----,----,362.6,-6.3,,368.9,,,
1560,----,----,----,----,357.7,-6.2,,363.9,,,
1565,----,----,----,----,352.7,-6.3,,359,,,
1570,----,----,----,----,347.8,-6.2,,354,,,
1575,----,----,----,----,342.8,-6.3,,349.1,,,
1580,----,----,----,----,337.9,-6.3,,344.2,,,
1590,----,----,----,----,328,-6.3,,334.3,,,
1600,----,----,----,----,318.1,-6.4,,324.5,,,
1610,----,----,----,----,308.3,-6.4,,314.7,,,
1620,----,----,----,----,298.4,-6.5,,304.9,,,
1625,----,----,----,----,293.5,-6.5,,300,,,90
1630,----,----,----,----,288.6,-6.5,,295.1,,,
1635,----,----,----,----,283.8,-6.4,,290.2,,,
1640,----,----,----,----,278.9,-6.4,,285.3,,,
1645,----,----,----,----,274,-6.5,,280.5,,,
1650,----,----,----,----,269.1,-6.5,,275.6,,,
1655,----,----,----,----,264.3,-6.5,,270.8,,,
1660,----,----,----,----,259.4,-6.5,,265.9,,,
1665,----,----,----,----,254.6,-6.5,,261.1,,,
1670,----,----,----,----,249.7,-6.6,,256.3,,,
1675,----,----,----,----,244.9,-6.5,,251.4,,,
1680,----,----,----,----,240.1,-6.5,,246.6,,,
1685,----,----,----,----,235.3,-6.5,,241.8,,,
1690,----,----,----,----,230.5,-6.5,,237,,,
1695,----,----,----,----,225.7,-6.5,,232.2,,,
1700,----,----,----,----,220.9,-6.5,,227.4,,,
1705,----,----,----,----,216.1,-6.5,,222.6,,,
1710,----,----,----,----,211.3,-6.5,,217.8,,,
1715,----,----,----,----,206.5,-6.6,,213.1,,,
1720,----,----,----,----,201.7,-6.7,,208.4,,,
1725,----,----,----,----,197,-6.7,,203.7,,,
1730,----,----,----,----,192.3,-6.7,,199,,,
1735,----,----,----,----,187.6,-6.7,,194.3,,,
1740,----,----,----,----,183,-6.7,,189.7,,,
1745,----,----,----,----,178.4,-6.7,,185.1,,,
1750,----,----,----,----,173.8,-6.7,,180.5,,,404
1755,----,----,----,----,169.2,-6.7,,175.9,,,
1760,----,----,----,----,164.6,-6.7,,171.3,,,
1765,----,----,----,----,160,-6.7,,166.7,,,
1770,----,----,----,----,155.5,-6.7,,162.2,,,
1775,----,----,----,----,151,-6.7,,157.7,,,
1780,----,----,----,----,146.5,-6.7,,153.2,,,
1785,----,----,----,----,142.1,-6.7,,148.8,,,
1790,----,----,----,----,137.7,-6.7,,144.4,,,
1795,----,----,----,----,133.3,-6.7,,140,,,
1800,----,----,----,----,128.9,-6.8,,135.7,,,4
1805,----,----,----,----,124.7,-6.7,,131.4,,,
1810,----,----,----,----,120.4,-6.7,,127.1,,,1
1815,----,----,----,----,116.1,-6.9,,123,,,
1820,----,----,----,----,111.9,-6.9,,118.8,,,6
1825,----,----,----,----,107.7,-6.9,,114.6,,,10
1830,----,----,----,----,103.6,-6.9,,110.5,,,7
1835,----,----,----,----,99.5,-6.9,,106.4,,,
1840,----,----,----,----,95.5,-6.8,,102.3,,,2
1845,----,----,----,----,91.5,-6.8,,98.3,,,
1850,----,----,----,----,87.6,-6.8,,94.4,,,6
1855,----,----,----,----,83.8,-6.7,,90.5,,,3
1860,----,----,----,----,80,-6.7,,86.7,,,2
1865,----,----,----,----,76.3,-6.6,,82.9,,,1
1870,----,----,----,----,72.6,-6.6,,79.2,,,1
1875,----,----,----,----,69,-6.5,,75.5,,,6
1880,----,----,----,----,65.4,-6.5,55,71.9,,,80
1885,----,----,----,----,61.9,-6.5,,68.4,,,1
1890,----,----,----,----,58.5,-6.4,,64.9,,,3
1895,----,----,----,----,55.2,-6.3,,61.5,,,2
1900,----,----,----,----,51.9,-6.2,2,58.1,25,,970
1905,----,----,----,----,48.7,-6.1,,54.8,,,1001
1910,----,----,----,----,45.7,-5.9,,51.6,,,90
1915,----,----,----,----,42.7,-5.8,,48.5,,,3
1920,42,42,39.2,39.2,39.8,-5.6,48,45.4,4,,71
1925,----,----,----,----,37,-5.5,104,42.5,56,,1246
1930,----,----,----,----,34.4,-5.3,,39.7,1,,47
1935,----,----,----,----,31.8,-5.2,,37,,,8
1940,----,----,----,----,29.3,-5.1,1,34.4,99,,111
1945,26.5,26.5,26.5,26.5,26.9,-4.9,1,31.8,,,332
1950,----,----,----,----,24.6,-4.7,259,29.3,77,,421
1955,----,----,----,----,22.4,-4.5,,26.9,25,,1800
1960,----,----,----,----,20.3,-4.3,252,24.6,86,,177
1965,----,----,----,----,18.3,-4.1,,22.4,45,,1971
1970,----,----,----,----,16.4,-3.9,152,20.3,32,,1941
1975,----,----,----,----,14.6,-3.8,1,18.4,412,,845
1980,----,----,----,----,12.9,-3.7,155,16.6,79,,2027
1985,----,----,----,----,11.4,-3.6,3,15,,,328
1990,10.2,10.2,10.2,10.2,9.9,-3.5,227,13.4,1511,,892
1995,----,----,----,----,8.6,-3.4,4,12,,,6
2000,----,----,----,----,7.5,-3.1,1862,10.6,1700,,2867
2005,----,----,----,----,6.5,-2.8,,9.3,,,1
2010,----,----,----,----,5.6,-2.5,2022,8.1,1197,,2207
2015,----,----,----,----,4.8,-2.2,,7,1,,1
2020,----,----,----,----,4.1,-1.9,47,6,1198,,4048
2025,----,----,----,----,3.5,-1.6,1,5.1,9,,946
2030,3,3,3,3,2.95,-1.4,110,4.35,2166,,3279
2035,----,----,----,----,2.45,-1.2,,3.65,,,3
2040,----,----,----,----,2.05,-1,1502,3.05,4741,,4799
2045,----,----,----,----,1.7,-0.85,,2.55,,,2
2050,----,----,2.00A,2.00A,1.4,-0.7,1350,2.1,6053,,9338
2055,----,----,----,----,1.15,-0.6,,1.75,1,,144
2060,0.9,0.9,0.9,0.9,0.95,-0.45,1051,1.4,33,,6866
2065,----,----,----,----,0.8,-0.35,,1.15,,,107
2070,----,----,----,----,0.65,-0.3,,0.95,,,572
2075,----,----,----,----,0.55,-0.25,,0.8,4,,1219
2080,0.55,0.55,0.55,0.55,0.45,-0.2,1,0.65,2,,1564
2085,----,----,----,----,0.35,-0.2,,0.55,,,8
2090,----,----,----,----,0.3,-0.15,,0.45,900,,1483
2095,----,----,----,----,0.25,-0.15,,0.4,,,4
2100,----,----,----,----,0.2,-0.15,,0.35,5901,,8164
2105,----,----,----,----,0.2,-0.1,,0.3,,,
2110,----,----,----,----,0.15,-0.1,,0.25,,,830
2115,----,----,----,----,0.15,-0.05,,0.2,,,4
2120,----,----,----,----,0.1,-0.1,,0.2,,,484
2125,----,----,----,----,0.1,-0.1,,0.2,,,1115
2130,----,----,----,----,0.1,-0.05,,0.15,,,564
2135,----,----,----,----,0.1,-0.05,,0.15,,,200
2140,----,----,----,----,0.05,-0.1,,0.15,,,229
2145,----,----,----,----,0.05,-0.1,,0.15,,,4
2150,0.1,0.1,0.1,0.1,0.05,-0.05,100,0.1,,,1586
2155,----,----,----,----,0.05,-0.05,,0.1,,,
2160,----,----,----,----,0.05,-0.05,,0.1,,,255
2165,----,----,----,----,0.05,-0.05,,0.1,,,600
2170,----,----,----,----,0.05,-0.05,,0.1,,,2601
2175,----,----,----,----,0.05,-0.05,,0.1,,,1400
2180,----,----,----,----,0.05,-0.05,,0.1,,,64
2185,----,----,----,----,0.05,UNCH,,0.05,,,216
2190,0.1,0.1,0.1,0.1,CAB,-0.05,1,0.05,,,1650
2195,----,----,----,----,CAB,-0.05,,0.05,,,75
2200,----,----,----,----,CAB,-0.05,,0.05,,,2758
2205,----,----,----,----,CAB,-0.05,,0.05,,,2316
2210,CAB,CAB,CAB,CAB,CAB,-0.05,1,0.05,,,3599
2215,----,----,----,----,CAB,-0.05,,0.05,,,1652
2220,----,----,----,----,CAB,-0.05,,0.05,,,20
2225,----,----,----,----,CAB,-0.05,,0.05,,,466
2230,----,----,----,----,CAB,UNCH,,CAB,,,150
2235,----,----,----,----,CAB,UNCH,,CAB,,,
2240,----,----,----,----,CAB,UNCH,,CAB,,,6108
2245,----,----,----,----,CAB,UNCH,,CAB,,,231
2250,----,----,----,----,CAB,UNCH,,CAB,,,8550
2255,----,----,----,----,CAB,UNCH,,CAB,,1,2232
2260,----,----,----,----,CAB,UNCH,,CAB,,1,4925
2265,----,----,----,----,CAB,UNCH,,CAB,,,7500
2270,----,----,----,----,CAB,UNCH,,CAB,,,
2275,----,----,----,----,CAB,UNCH,,CAB,,,7
2280,----,----,----,----,CAB,UNCH,,CAB,,,250
2285,----,----,----,----,CAB,UNCH,,CAB,,,
2290,----,----,----,----,CAB,UNCH,,CAB,,,
2300,----,----,----,----,CAB,UNCH,,CAB,,,
2310,----,----,----,----,CAB,UNCH,,CAB,,,1
2320,----,----,----,----,CAB,UNCH,,CAB,,,250
2325,----,----,----,----,CAB,UNCH,,CAB,,,
2330,----,----,----,----,CAB,UNCH,,CAB,,,
2340,----,----,----,----,CAB,UNCH,,CAB,,,
2350,----,----,----,----,CAB,UNCH,,CAB,,,
2360,----,----,----,----,CAB,UNCH,,CAB,,,
2370,----,----,----,----,CAB,UNCH,,CAB,,,
2375,----,----,----,----,CAB,UNCH,,CAB,,,
2380,----,----,----,----,CAB,UNCH,,CAB,,,
2390,----,----,----,----,CAB,UNCH,,CAB,,,3
2400,----,----,----,----,CAB,UNCH,,CAB,,,
2410,----,----,----,----,CAB,UNCH,,CAB,,,
2420,----,----,----,----,CAB,UNCH,,CAB,,,
2425,----,----,----,----,CAB,UNCH,,CAB,,,
2430,----,----,----,----,CAB,UNCH,,CAB,,,
2440,----,----,----,----,CAB,UNCH,,CAB,,,
2450,----,----,----,----,CAB,UNCH,,CAB,,,
2460,----,----,----,----,CAB,UNCH,,CAB,,,
2470,----,----,----,----,CAB,UNCH,,CAB,,,
2475,----,----,----,----,CAB,UNCH,,CAB,,,
2480,----,----,----,----,CAB,UNCH,,CAB,,,
2490,----,----,----,----,CAB,UNCH,,CAB,,,
2500,----,----,----,----,CAB,UNCH,,CAB,,,
2510,----,----,----,----,CAB,UNCH,,CAB,,,
2520,----,----,----,----,CAB,UNCH,,CAB,,,
2525,----,----,----,----,CAB,UNCH,,CAB,,,
2530,----,----,----,----,CAB,UNCH,,CAB,,,
2550,----,----,----,----,CAB,UNCH,,CAB,,,
2575,----,----,----,----,CAB,UNCH,,CAB,,,
2600,----,----,----,----,CAB,UNCH,,CAB,,,
2625,----,----,----,----,CAB,UNCH,,CAB,,,
2650,----,----,----,----,CAB,UNCH,,CAB,,,
2675,----,----,----,----,CAB,UNCH,,CAB,,,
2700,----,----,----,----,CAB,UNCH,,CAB,,,
2725,----,----,----,----,CAB,UNCH,,CAB,,,
2750,----,----,----,----,CAB,UNCH,,CAB,,,
2775,----,----,----,----,CAB,UNCH,,CAB,,,
2800,----,----,----,----,CAB,UNCH,,CAB,,,
2825,----,----,----,----,CAB,UNCH,,CAB,,,
2850,----,----,----,----,CAB,UNCH,,CAB,,,
2875,----,----,----,----,CAB,UNCH,,CAB,,,
2900,----,----,----,----,CAB,UNCH,,CAB,,,
2925,----,----,----,----,CAB,UNCH,,CAB,,,
2950,----,----,----,----,CAB,UNCH,,CAB,,,
2975,----,----,----,----,CAB,UNCH,,CAB,,,
3000,----,----,----,----,CAB,UNCH,,CAB,,,
3025,----,----,----,----,CAB,UNCH,,CAB,,,
3050,----,----,----,----,CAB,UNCH,,CAB,,,
3075,----,----,----,----,CAB,UNCH,,CAB,,,
3100,----,----,----,----,CAB,UNCH,,CAB,,,
3125,----,----,----,----,CAB,UNCH,,CAB,,,
3150,----,----,----,----,CAB,UNCH,,CAB,,,
OS APR1,6 CME S&,P 500 OPTIO,NS CALL,,,,,,,,
800,----,----,----,----,1107.7,-6.1,,1113.8,,,
825,----,----,----,----,1082.7,-6.1,,1088.8,,,
850,----,----,----,----,1057.7,-6.1,,1063.8,,,
875,----,----,----,----,1032.7,-6.1,,1038.8,,,
900,----,----,----,----,1007.7,-6.1,,1013.8,,,
925,----,----,----,----,982.7,-6.1,,988.8,,,
950,----,----,----,----,957.7,-6.1,,963.8,,,
975,----,----,----,----,932.7,-6.1,,938.8,,,
1000,----,----,----,----,907.7,-6.1,,913.8,,,
1025,----,----,----,----,882.7,-6.1,,888.8,,,
1050,----,----,----,----,857.8,-6.1,,863.9,,,
1075,----,----,----,----,832.8,-6.1,,838.9,,,
1100,----,----,----,----,807.8,-6.2,,814,,,
1125,----,----,----,----,782.9,-6.1,,789,,,
1150,----,----,----,----,757.9,-6.1,,764,,,
1175,----,----,----,----,733,-6.1,,739.1,,,
1200,----,----,----,----,708,-6.2,,714.2,,,
1225,----,----,----,----,683.1,-6.1,,689.2,,,
1250,----,----,----,----,658.2,-6.1,,664.3,,,
1275,----,----,----,----,633.3,-6.1,,639.4,,,
1300,----,----,----,----,608.4,-6.2,,614.6,,,
1325,----,----,----,----,583.6,-6.1,,589.7,,,
1350,----,----,----,----,558.7,-6.2,,564.9,,,
1375,----,----,----,----,533.9,-6.2,,540.1,,,
1400,----,----,----,----,509.2,-6.3,,515.5,,,
1410,----,----,----,----,499.3,-6.3,,505.6,,,
1420,----,----,----,----,489.4,-6.3,,495.7,,,
1425,----,----,----,----,484.4,-6.4,,490.8,,,
1430,----,----,----,----,479.5,-6.4,,485.9,,,
1440,----,----,----,----,469.6,-6.4,,476,,,
1450,----,----,----,----,459.8,-6.4,,466.2,,,
1460,----,----,----,----,449.9,-6.4,,456.3,,,
1470,----,----,----,----,440.1,-6.4,,446.5,,,
1475,----,----,----,----,435.2,-6.4,,441.6,,,
1480,----,----,----,----,430.3,-6.4,,436.7,,,
1490,----,----,----,----,420.5,-6.4,,426.9,,,
1500,----,----,----,----,410.8,-6.4,,417.2,,,
1510,----,----,----,----,401.1,-6.3,,407.4,,,
1520,----,----,----,----,391.3,-6.4,,397.7,,,
1525,----,----,----,----,386.4,-6.5,,392.9,,,
1530,----,----,----,----,381.6,-6.4,,388,,,
1540,----,----,----,----,371.9,-6.4,,378.3,,,
1550,----,----,----,----,362.2,-6.4,,368.6,,,
1560,----,----,----,----,352.5,-6.4,,358.9,,,
1570,----,----,----,----,342.9,-6.4,,349.3,,,
1575,----,----,----,----,338.1,-6.4,,344.5,,,
1580,----,----,----,----,333.3,-6.4,,339.7,,,
1590,----,----,----,----,323.7,-6.5,,330.2,,,
1600,----,----,----,----,314.3,-6.4,,320.7,,,
1610,----,----,----,----,304.8,-6.5,,311.3,,,
1615,----,----,----,----,300,-6.5,,306.5,,,
1620,----,----,----,----,295.3,-6.5,,301.8,,,
1625,----,----,----,----,290.6,-6.5,,297.1,,,
1630,----,----,----,----,285.9,-6.5,,292.4,,,
1635,----,----,----,----,281.2,-6.5,,287.7,,,
1640,----,----,----,----,276.5,-6.5,,283,,,
1645,----,----,----,----,271.8,-6.5,,278.3,,,
1650,----,----,----,----,267.1,-6.6,,273.7,,,
1655,----,----,----,----,262.4,-6.7,,269.1,,,
1660,----,----,----,----,257.8,-6.7,,264.5,,,
1665,----,----,----,----,253.2,-6.7,,259.9,,,
1670,----,----,----,----,248.6,-6.7,,255.3,,,
1675,----,----,----,----,244,-6.7,,250.7,,,
1680,----,----,----,----,239.4,-6.7,,246.1,,,
1685,----,----,----,----,234.8,-6.7,,241.5,,,
1690,----,----,----,----,230.2,-6.7,,236.9,,,
1695,----,----,----,----,225.7,-6.7,,232.4,,,
1700,----,----,----,----,221.2,-6.7,,227.9,,,
1705,----,----,----,----,216.7,-6.7,,223.4,,,
1710,----,----,----,----,212.2,-6.7,,218.9,,,
1715,----,----,----,----,207.8,-6.6,,214.4,,,
1720,----,----,----,----,203.4,-6.5,,209.9,,,
1725,----,----,----,----,199,-6.5,,205.5,,,
1730,----,----,----,----,194.6,-6.5,,201.1,,,
1735,----,----,----,----,190.3,-6.4,,196.7,,,
1740,----,----,----,----,185.9,-6.4,,192.3,,,
1745,----,----,----,----,181.5,-6.5,,188,,,
1750,----,----,----,----,177.2,-6.5,,183.7,,,
1755,----,----,----,----,172.9,-6.5,,179.4,,,
1760,----,----,----,----,168.6,-6.5,,175.1,,,
1765,----,----,----,----,164.3,-6.6,,170.9,,,
1770,----,----,----,----,160.1,-6.6,,166.7,,,
